replication,covariate,entry_to_stressed_AME,exit_to_calm_AME,convergence_code
17,rv_tilde,-0.0220945010643134,-0.0539151590600403,0
17,abs_ofi_tilde,-0.00469732845753459,-0.02673894607094,0
17,open_dummy,-0.0372600307463367,-0.00062507060024065,0
17,close_dummy,-0.0275026313406432,-0.023133038771131,0
18,depth_tilde,-0.0505241028802033,0.0433733417478404,0
18,rv_tilde,-0.0159278128908892,-0.0590930239656994,0
18,abs_ofi_tilde,0.00149244699463402,-0.0298073937062991,0
18,open_dummy,-0.0332595061383388,0.0129836472944997,0
18,close_dummy,-0.0259370767956529,-0.0257473541050009,0
19,depth_tilde,-0.0530033651964482,0.043800615224033,0
19,rv_tilde,-0.0182808275165599,-0.0482433155915407,0
19,abs_ofi_tilde,0.00132440578698938,-0.0364530784297556,0
19,open_dummy,-0.0455980175202024,0.00706266849623215,0
19,close_dummy,-0.0127933118673068,-0.0363061482927846,0
20,depth_tilde,-0.0516298213481311,0.0423689018130528,0
20,rv_tilde,-0.0186032749062035,-0.0469490040104799,0
20,abs_ofi_tilde,-0.000232909447752056,-0.0332254080196305,0
20,open_dummy,-0.0297904833204389,-0.00848981995686548,0
20,close_dummy,-0.00739536274199232,-0.0271395820146544,0
21,depth_tilde,-0.0500906443315539,0.0459731682255866,0
21,rv_tilde,-0.0136027155722962,-0.06115161447022,0
21,abs_ofi_tilde,0.000920608719825417,-0.0496701722106987,0
21,open_dummy,-0.0390052892542549,0.00268293309573615,0
21,close_dummy,-0.0180908546794459,-0.0256955092941253,0
22,depth_tilde,-0.0495284283969929,0.0412660996790906,0
22,rv_tilde,-0.0234249432976342,-0.0493580849590697,0
22,abs_ofi_tilde,-0.00128746559501078,-0.0242194885228797,0
22,open_dummy,-0.0376638393242856,0.0176208655405455,0
22,close_dummy,-0.022116051605453,-0.0146636006667545,0
23,depth_tilde,-0.0492121356081508,0.0412240624030874,0
23,rv_tilde,-0.0216285744105603,-0.0563334932601923,0
23,abs_ofi_tilde,-0.00150788880961577,-0.0385969792581332,0
23,open_dummy,-0.0202342640698581,0.0038491461079331,0
23,close_dummy,-0.0174204148571616,-0.0341351540445832,0
24,depth_tilde,-0.0487662812741172,0.0428109428198411,0
24,rv_tilde,-0.0205401787253441,-0.0506327897578452,0
24,abs_ofi_tilde,-0.00570145891835874,-0.0404989028297503,0
24,open_dummy,-0.0395589501882344,-0.0143559465728677,0
24,close_dummy,-0.0247775154796657,-0.0227539968824934,0
25,depth_tilde,-0.05015450223382,0.0422119997767215,0
25,rv_tilde,-0.0177150146272694,-0.0558417433187325,0
25,abs_ofi_tilde,-0.00151909807541249,-0.0400404567180618,0
25,open_dummy,-0.0366610314696503,0.00656138432556967,0
25,close_dummy,-0.0206544734000067,-0.022689585577115,0
26,depth_tilde,-0.0502440262278546,0.0438027923604212,0
26,rv_tilde,-0.0183172839355992,-0.0538051240804039,0
26,abs_ofi_tilde,-0.00168941033875197,-0.0421469394117072,0
26,open_dummy,-0.052844566069753,-0.00315912260425994,0
26,close_dummy,-0.01598193602691,-0.026881704227445,0
27,depth_tilde,-0.0493792769835762,0.0424022718094268,0
27,rv_tilde,-0.0175155643777212,-0.0617368644016471,0
27,abs_ofi_tilde,0.00200699245166083,-0.0473291381558559,0
27,open_dummy,-0.0472249604413078,-0.0164842959120761,0
27,close_dummy,-0.0169035388954474,0.000506098769131372,0
28,depth_tilde,-0.0508723413363052,0.0427674263609349,0
28,rv_tilde,-0.0222324022893536,-0.0547089398259732,0
28,abs_ofi_tilde,-0.000596292647375892,-0.0366848692608317,0
28,open_dummy,-0.0551648187013543,0.0129204483132676,0
28,close_dummy,-0.0271848967938721,-0.0322905494248627,0
29,depth_tilde,-0.0510493121718929,0.04047438524271,0
29,rv_tilde,-0.0270213988047388,-0.0525656642721443,0
29,abs_ofi_tilde,-0.00344959624861541,-0.0283012000594247,0
29,open_dummy,-0.021344101410989,-0.0119223774607501,0
29,close_dummy,-0.0190241722176786,-0.0164902915458318,0
30,depth_tilde,-0.0494196723018433,0.0416543154901823,0
30,rv_tilde,-0.0183701372606387,-0.0584711322158557,0
30,abs_ofi_tilde,0.00284412094567851,-0.035916369386588,0
30,open_dummy,-0.0335506778340349,0.0100960230891415,0
30,close_dummy,-0.023832098553181,-0.0140386666053794,0
31,depth_tilde,-0.0493494685254836,0.0427028452062145,0
31,rv_tilde,-0.0195527995522287,-0.0560880502923289,0
31,abs_ofi_tilde,-0.00346065892219596,-0.0368195157909184,0
31,open_dummy,-0.0363175994298576,-0.00705778371476635,0
31,close_dummy,-0.0115920682891285,-0.0308360420708526,0
32,depth_tilde,-0.0502835424006197,0.0430939276132706,0
32,rv_tilde,-0.0185019136478667,-0.0520120441313924,0
32,abs_ofi_tilde,-0.00237312928524202,-0.0373267280892896,0
32,open_dummy,-0.0272449376460291,0.00646858084796826,0
32,close_dummy,-0.0186507813405917,-0.0293753958311522,0
33,depth_tilde,-0.0502282366061982,0.0407758220503084,0
33,rv_tilde,-0.0236639427425641,-0.063767175399895,0
33,abs_ofi_tilde,-0.0020696585370792,-0.0245578718392168,0
33,open_dummy,-0.0233751413625416,-0.000162453038007044,0
